year,sentiment,city
2011,0.4375,Southern Nevada
2012,0.4375,
2014,0,UK
2014,0.25,"Kansas City, Kansas"
2010,0.4375,PA.
2009,0.4375,Murray - Kentucky - USA
2012,0.4375,New Jersey
2008,0.4375,"Boston, MA"
2012,0,
2014,0.25,California
2009,-0.0625,"Bombay, India"
2009,-0.1875,Los Angeles
2012,-0.1875,Los Angeles
2014,0,Oregon
2013,0.25,
2011,0.25,"Washington, D.C."
2012,0.375,
2009,0.34375,"Evansville, IN"
2009,0.25,United States
2013,-0.125,
2013,0.25,
2013,0.25,
2012,0.25,MICHIGAN USA
2013,0.25,Atlantic Ocean
2011,0.25,
2008,0.25,
2009,0.25,usually London
2010,-0.25,TX
2012,0.4375,New Hampshire
2013,0,
2013,-0.25,
2009,-0.25,Texas
2008,0.4375,"Boston, MA"
2010,0.0625,
2013,0,
2007,-0.3125,"Auckland, NZ"
2012,-0.1875,"Milwaukee, WI"
2011,-0.15625,
2011,0,"Lillington, NC"
2012,-0.196428571429,Everywhere and Nowhere
2009,-0.025,
2012,0.625,Nigeria
2012,0.25,
2011,0,Washington. DC 
2013,0,Houston
2009,0,"Houston, TX"
2012,0,
2011,0.25,"Houston, Texas, U.S.A."
2008,-0.025,"Santa Monica, CA"
2009,-0.025,"Long Beach, CA"
2012,0,
2011,0,Washington. DC 
2012,0,
2012,0.25,
2011,0,Washington. DC 
2011,0,Washington. DC 
2012,-0.1,San Francisco bay area
2014,-0.25,"Salt Lake City, Utah"
2011,0.125,"San Diego, Calif., USA"
2012,0.458333333333,
2012,0.25,
2011,0.25,
2009,0.458333333333,IL
2011,0.458333333333,
2012,0.458333333333,"Washington, D.C."
2013,-0.75,"Starkville, MS"
2013,-0.25,Utah
2012,0.125,
2009,-0.75,
2014,-0.25,UK
2013,0.458333333333,"Indianapolis, IN"
2013,0.458333333333,"Indianapolis, IN"
2012,-0.25,Washington DC
2009,-0.25,"Arlington, Va."
2013,0.458333333333,"Miami, FL"
2009,0.458333333333,
2012,0.458333333333,New York City
2012,0.458333333333,
2012,-0.75,"Starkville, Mississippi"
2009,-0.75,"T: 33.220629,-87.546383"
2014,-0.75,"Starkville, Mississippi "
2013,0.25,
2013,-0.166666666667,
2013,-0.166666666667,
2013,-0.166666666667,Tanzania
2012,-0.166666666667,AnyPlaceWhereMyVisaTakesMe
2011,-0.166666666667,"Dar es Salaam, Dar es Salaam"
2011,-0.166666666667,Dodoma
2010,-0.166666666667,
2012,-0.75,Scarborough
2013,0.25,
2009,0.25,heddesheim
2010,0.0178571428571,"Rotterdam, Nl"
2013,0.339285714286,
2013,0.25,"Aurora, CO"
2013,0.0625,
2014,0.25,"Oakland, CA"
2013,0.0,
2009,0,Texas
2009,0.375,Calgary
2011,0.25,
2010,0.25,"Nashville, TN"
2011,0.25,sterling va (via Wash St Univ)
2014,0.25,UK
2009,0.25,"Williamsburg, VA"
2011,0.15625,
2013,0,
2013,-0.625,New York
2009,0,"Orlando, Florida"
2010,0,"Boca Raton, FL"
2009,0.25,"Minneapolis, Minnesota"
2009,-0.291666666667,"Somerville, MA"
2013,-0.625,"Brooklyn, NY"
2010,0,New England 
2012,0,"Washingtonville, NY"
2009,0.296875,"Kent, Ohio"
2011,0,Southern California
2012,0.25,Key West Florida USA
2013,0.25,"Key West, FL USA"
2009,-0.583333333333,Anoka and NE Hennepin counties
2013,0.5,"Portland, OR"
2009,0.0,"London, United Kingdom"
2012,0.25,"Washington, D.C."
2012,0.25,the hood.
2012,0.25,"Austin, West Side, Chicago"
2011,0.333333333333,"Doylestown, PA"
2010,0.15625,Every Where
2012,0.5,"Doylestown, PA"
2013,0,"Minneapolis, MN"
2009,0,Anoka and NE Hennepin counties
2012,0.25,"London, England"
2013,0.15625,Global
2012,0,
2009,0.15625,Pakistan
2013,0.25,"Ohio, USA"
2013,0.25,Manhatten
2010,0.25,"By the Sea, USA"
2011,0.25,Melbourne
2011,0.25,London
2011,0.25,Melbourne
2008,0.0625,"Waikoloa Village, HI"
2013,0.291666666667,Singapore
2010,0.375,Las Amricas | Espaa 
